index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,Spec_Score,size_category,charging_category,brand_category
1,tcl,1,0,10.66895539,4.65,55,qled,1,16,0.006272239,4,0,0,1,3,1,2,1,1,3,1,2,big
2,lg,1,0,10.6454249,4.55,55,led,1,19.2,0.005958475,3,0,0,1,3,1,2,1,1,2,1,2,big
3,xiaomi,1,0,10.51867319,4.35,55,qled,1,32,0.006466391,4,1,0,0,3,1,2,2,1,2,1,1,big
4,lg,1,0,10.34174248,4.4,43,led,1,19.2,0.007380883,3,0,0,1,4,1,2,1,1,2,0,2,big
5,philips,1,0,11.22524339,4.05,75,qled,1,32,0.003618048,4,1,0,0,1,1,2,2,1,4,1,2,big
6,hisense,1,0,10.81977828,4.2,55,miniled,1,28.8,0.005796116,4,0,0,1,3,1,2,1,1,4,1,2,big
7,sony,1,0,11.30209332,4.5,65,led,1,16,0.00344487,4,1,0,0,2,1,2,1,1,3,1,2,big
8,croma,0,0,9.121509158,4.45,32,led,1,16,0.014955515,4,0,1,0,0,0,0,1,1,0,0,2,medium
9,realme,1,0,10.02127059,4.2,55,qled,1,16,0.010267123,4,0,0,1,3,1,2,3,1,2,1,1,big
10,xiaomi,1,0,10.71441777,4.65,55,miniled,1,32,0.006303473,4,1,0,0,3,1,2,1,1,3,1,2,big
11,samsung,1,0,10.4484537,4.55,43,miniled,1,25.6,0.007651493,3,0,0,1,4,1,2,2,1,3,0,2,big
12,xiaomi,0,0,9.121509158,4.5,32,led,1,16,0.014955515,4,0,1,0,0,0,0,1,2,0,0,2,big
13,tcl,1,0,11.40746494,4.4,55,miniled,1,22.4,0.00361818,3.6,0,1,0,3,1,2,1,1,4,1,2,big
14,samsung,1,0,10.736201,4.7,55,miniled,1,28.8,0.006233964,3,0,0,1,3,1,2,2,1,3,1,2,big
15,xiaomi,1,0,10.30895266,4.3,43,qled,1,32,0.008600287,4,1,0,0,4,1,2,2,1,3,0,2,big
